book_id,book_title,strategy,canonical_node_id,canonical_source_key,canonical_node_type,canonical_title,canonical_parent_id,canonical_order,coverage_status,linked_current_section_ids,linked_current_count,linked_actions
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:262973c40564b80e,262973c40564b80e,section,Visitas espíritas entre pessoas vivas,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,79,covered,[4239],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:2fdf476a3c6ece2a,2fdf476a3c6ece2a,section,Transmissão oculta do pensamento,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,80,covered,[4240],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:cb9f1b48c21ad762,cb9f1b48c21ad762,section,"Letargia, catalepsia, mortes aparentes",o-livro-dos-espiritos:chapter:d46c925f0d53d40f,81,covered,[4241],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:bd8a2ebd31a4dbbb,bd8a2ebd31a4dbbb,section,Sonambulismo,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,82,covered,[4242],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:d9493f5d86c5b461,d9493f5d86c5b461,section,Êxtase,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,83,covered,[4243],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:5e62a81a3b023d59,5e62a81a3b023d59,section,Dupla vista,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,84,covered,[4244],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:f917af7a3e27ed4a,f917af7a3e27ed4a,section,"Resumo teórico do sonambulismo, do êxtase e da dupla vista",o-livro-dos-espiritos:chapter:d46c925f0d53d40f,85,covered,[4245],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,5d6fba1a034ccb46,chapter,Da intervenção dos Espíritos no mundo corporal,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,86,multiple-current-records,"[4246, 4247, 4252]",3,"{""keep"": 1, ""split"": 2}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:e988e8b4c89a2bdd,e988e8b4c89a2bdd,section,Faculdade que têm os Espíritos de penetrar os nossos pensamentos,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,87,missing-current-unit,[],0,{}
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:0b57880f626dea52,0b57880f626dea52,section,Influência oculta dos Espíritos em nossos pensamentos e atos,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,88,covered,[4248],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:bdeb8be7a8aaa867,bdeb8be7a8aaa867,section,Possessos,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,89,covered,[4249],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:4bf1c0e173d858f7,4bf1c0e173d858f7,section,Convulsionários,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,90,covered,[4250],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:4396a63cb3f1bab1,4396a63cb3f1bab1,section,Afeição que os Espíritos votam a certas pessoas,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,91,covered,[4251],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:e4e36465656a68de,e4e36465656a68de,section,"Anjos da guarda. Espíritos protetores, familiares ou simpáticos",o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,92,missing-current-unit,[],0,{}
