book_id,book_title,section_id,sec_position,kind,part_title,chapter_label,chapter_title,section_title,record_title,stored_word_count,calculated_word_count,content_character_count,paragraph_block_count,normalized_content_md5
1,O Livro dos Espíritos,4207,65,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,A reencarnação,A reencarnação,217,232,1501,16,981cf516875fa02e7de09f1a3c454bdb
1,O Livro dos Espíritos,4208,66,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Justiça da reencarnação,Justiça da reencarnação,376,381,2239,6,26cb8534b5234523106fb6c4f59ff102
1,O Livro dos Espíritos,4209,67,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Encarnação nos diferentes mundos,Encarnação nos diferentes mundos,1280,1339,8076,60,5d8dca3c0a3b9ed3dacbea67dd22184b
1,O Livro dos Espíritos,4210,68,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Transmigrações progressivas,Transmigrações progressivas,1660,1689,10000,30,e7d46d75ce0fb1595cf5dc866fb6d583
1,O Livro dos Espíritos,4211,69,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Sorte das crianças depois da morte,Sorte das crianças depois da morte,508,519,2992,12,65c9f3f834d4f1b9aee555723f415375
1,O Livro dos Espíritos,4212,70,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Sexos nos Espíritos,Sexos nos Espíritos,143,149,859,7,1251f7f7cfc28f727066506545e98010
1,O Livro dos Espíritos,4213,71,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,"Parentesco, filiação","Parentesco, filiação",437,447,2703,11,f0aff3e8c1fd99d10b22ae0491ae81f2
1,O Livro dos Espíritos,4214,72,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Parecenças físicas e morais,Parecenças físicas e morais,994,1019,6252,26,87826d829b47e029818eb1b0ddf9c07a
1,O Livro dos Espíritos,4215,73,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,Ideias inatas,Ideias inatas,383,396,2524,14,ccfef72cbf95b2b547e2a431696b9058
1,O Livro dos Espíritos,4216,74,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO V,Considerações sobre a pluralidade das existências,null,CAPÍTULO V — Considerações sobre a pluralidade das existências,0,0,0,0,d41d8cd98f00b204e9800998ecf8427e
1,O Livro dos Espíritos,4217,75,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO V,Considerações sobre a pluralidade das existências,null,Considerações sobre a pluralidade das existências,3469,3502,20926,34,c2d7ad0657696126dfde309a8e0e9cf8
1,O Livro dos Espíritos,4218,76,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,null,CAPÍTULO VI — Da vida espírita,43,51,332,1,5034903ed3230541591bd40a3e8c6c68
1,O Livro dos Espíritos,4219,77,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Espíritos errantes,Espíritos errantes,771,797,4957,27,43d399e546cf3bcd347d52d187aff932
1,O Livro dos Espíritos,4220,78,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Mundos transitórios,Mundos transitórios,504,522,3261,19,c24e2a63a2b8e7fdaa4cb0a0d03ba629
1,O Livro dos Espíritos,4221,79,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,"Percepções, sensações e sofrimentos dos Espíritos","Percepções, sensações e sofrimentos dos Espíritos",1423,1472,8849,50,99296fd7038978677c6c8db713597cb0
1,O Livro dos Espíritos,4222,80,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Ensaio teórico da sensação nos Espíritos,Ensaio teórico da sensação nos Espíritos,2036,2045,12352,10,c9a84fd7b129cb0680b70f4d3bd41854
1,O Livro dos Espíritos,4223,81,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Escolha das provas,Escolha das provas,2685,2733,16199,49,2587c9dc14c9670190d8f4379457fa3e
1,O Livro dos Espíritos,4224,82,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,As relações no além-túmulo,As relações no além-túmulo,1027,1067,6354,41,7a9e517ce3b1cb7f367abf8e6292a7ff
1,O Livro dos Espíritos,4225,83,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,os Espíritos. Metades eternas,os Espíritos. Metades eternas,806,835,5190,30,9e05de2c77d5687d8a49192eca41ffb1
1,O Livro dos Espíritos,4226,84,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Recordação da existência corpórea,Recordação da existência corpórea,1283,1322,7810,40,a06e4798d3fe0951087852856c6e0559
1,O Livro dos Espíritos,4227,85,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VI,Da vida espírita,Comemoração dos mortos. Funerais,Comemoração dos mortos. Funerais,727,754,4495,28,63a008da3af37d4a841780cd0f281745
1,O Livro dos Espíritos,4228,86,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,null,CAPÍTULO VII — Da volta do Espírito à vida corporal,30,37,208,1,0be5e46a0530dce706ec86746d9c61b1
1,O Livro dos Espíritos,4229,87,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,Prelúdio da volta,Prelúdio da volta,917,950,5604,34,09f3c52f42816901c7bceeb6aa482b09
